,,Classroom Bot,
Criteria ,,Score ,Comments
,Workload Split,2,Pull requests and commits
,Number of commits,1,201 commits
,Issues closed,2,27/35
,DOI badge: exists,3,README
Documentation ,Is the format of the document ugly?,2,
,Does the document talk about each functionality?,1,"No specific section in the 
README or anywhere
for the functionalities"
,"For common use cases, does the document have mini-tutorials?",1,"No specific section in the 
README or repository that
explains use cases"
,"Does the document tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing?",1,"Only a brief paragraph on
what this project can do"
,"Does it contain a short, animated video hosted on the repo that convinces people why they want to work on your code?",1,The video doesn't give a proper demonstration of the functio0lities 
,Use of version control tools,3,Github
,Use of style checkers,3,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/CONTRIBUTING.md#L102
,Use of code formatters.,0,
,Use of syntax checkers.,3,"pycodestyle used
https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/backend-service/lint.Dockerfile"
,Use of code coverage,1,
,Other automated analysis tools,3,
,Test Case exist,3,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/ui/classroom-bot-ui/README.md#L54
,Test cases routinely executed,0,No information about last tests conducted
,The files contributing.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/CONTRIBUTING.md
,Issues are discussed before they are closed,1,Comments in Issues section
,Chat channel: exists,3,Chats in Issues section and Pull Requests
,Test cases: a large proportion of the issues related to handling failing cases.,1,
,Short release cycles,1,
Q1 - What your software does,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/README.md
,Does your website and documentation clearly describe the type of user who should use your software?,Yes,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/README.md
,Do you publish case studies to show how your software has been used by yourself and others?,No,
Q2 - Your project's and software's identity,"Is the name of your project/software unique?
",No,
,"Is your project/software name free from trademark violations?
",No,
Q3 - Availability of your software,Is your software available as a package that can be deployed without building it?,No,README has a list of installation instructions
,"Is your software available for free?
",Yes,Publicly available on Github
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Publicly available on Github
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,Publicly available on Github
Q4 - Your software's documentation,Is your documentation clearly available on your website or within your software?,Yes,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/README.md
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/Ayushi61/Classroom-Bot/blob/f4b4875cb266d4936c56cfd514a57c8ff9e1f940/ui/classroom-bot-ui/README.md#L7
